resets.sent.a2b,resets.sent.b2a,sack.pkts.sent.b2a,dsack.pkts.sent.b2a,rexmt.data.pkts.a2b,outoforder.pkts.a2b,pushed.data.pkts.a2b,max.segm.size.a2b,min.segm.size.a2b,max.win.adv.b2a,avg.win.adv.b2a,max.owin.a2b,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.a2b,data.xmit.time.b2a,idletime.max.a2b,idletime.max.b2a,throughput.b2a,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.full.sz.avg.a2b,post.loss.acks.a2b,rtt.min.last.a2b,rtt.max.last.a2b,rtt.avg.last.a2b,rtt.sdv.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,max.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.stdev.b2a,rtt.full.sz.avg.b2a,triple.dupacks.b2a,max.retr.time.b2a,duplicate.acks.a2b,duplicate.acks.b2a,transfer.datarate
0.0,0.0,27025.0,0.0,3222.0,3600.0,9662.0,1388.0,164.0,35817728.0,20794205.0,12909793.0,3898258.0,5.0,4114854.0,63935.0,0.0,652.5,462.9,0.0,18.1,639.7,152.8,103.0,25.5,1.0,21.8,25.5,25.5,933.0,27.5,641.7,279.2,147.0,27172.0,194.0,3.0,110.5,669.0,367.62,102.52,0.0,1235.0,1.0,0.3,0.0,0.8,0.0,0.0,24851.0,0.0,80708.73
0.0,0.0,5264.0,0.0,1685.0,145.0,7666.0,1388.0,295.0,28141568.0,20044903.0,6677673.0,3152548.0,5.0,2975273.0,63935.0,0.0,214.2,415.8,0.0,18.0,1144.6,510.1,212.1,22.8,1.0,18.0,22.8,22.8,196.0,0.3,387.7,354.0,173.2,4728.0,13.0,3.0,42.5,1183.9,697.26,160.72,0.0,610.0,1.0,0.3,0.0,0.7,0.0,0.0,6030.0,0.0,40708.95
0.0,0.0,18863.0,0.0,2814.0,3304.0,16480.0,1388.0,12.0,30478080.0,18920660.0,7367509.0,2374977.0,5.0,2444737.0,63935.0,0.0,519.0,489.3,0.0,16.5,624.7,120.6,96.0,23.4,1.0,19.8,23.4,23.4,1858.0,26.6,303.1,125.2,83.4,18577.0,231.0,2.0,83.1,637.7,381.58,119.88,0.0,1690.0,1.0,0.4,0.0,1.3,0.0,0.0,16022.0,1.0,92910.44
0.0,0.0,0.0,0.0,0.0,661.0,6401.0,1388.0,4.0,23532288.0,10455353.0,8216965.0,3300786.0,5.0,3047805.0,63935.0,0.0,568.6,492.0,0.0,16.6,225.7,165.0,27.4,27.8,1.0,25.7,27.8,27.8,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,1.0,1.0,124841.521
0.0,0.0,5360.0,0.0,819.0,782.0,16706.0,1388.0,295.0,32110080.0,24045659.0,8293305.0,3330644.0,5.0,3147248.0,66711.0,0.0,184.7,539.9,0.0,16.6,626.6,291.4,100.0,40.3,1.0,16.6,40.3,40.3,771.0,117.8,287.3,246.8,79.0,4648.0,74.0,1.0,376.7,617.0,496.34,71.38,0.0,215.0,1.0,0.3,0.0,0.5,0.0,0.0,4353.0,0.0,79445.373
0.0,0.0,5218.0,0.0,568.0,321.0,12740.0,1388.0,20.0,31063552.0,19424238.0,9649381.0,3469238.0,5.0,3182189.0,63935.0,0.0,485.5,318.6,0.0,16.6,438.8,283.8,59.6,29.0,1.0,17.7,29.0,29.0,134.0,0.0,415.7,415.7,17.1,5266.0,11.0,2.0,299.1,672.5,420.78,51.5,0.0,95.0,1.0,0.2,0.0,0.9,0.0,0.0,4824.0,0.0,75748.415
0.0,0.0,8170.0,0.0,1080.0,155.0,8404.0,1388.0,295.0,31300352.0,23346566.0,10855553.0,3956173.0,5.0,3124716.0,63935.0,0.0,381.9,429.3,0.0,22.1,910.3,583.7,200.0,34.3,1.0,22.1,34.3,34.3,1391.0,21.7,464.3,347.1,98.3,5022.0,25.0,2.0,231.5,1121.3,620.2,187.18,0.0,2200.0,1.0,0.2,0.0,0.8,0.0,0.0,7359.0,0.0,35471.034
0.0,0.0,1490.0,0.0,110.0,481.0,12922.0,1388.0,295.0,35825664.0,28933561.0,5679701.0,2944105.0,5.0,2863823.0,63935.0,0.0,1065.3,816.1,0.0,15.4,740.5,390.0,186.3,57.4,1.0,25.9,57.4,57.4,91.0,0.0,250.3,249.5,10.2,1756.0,7.0,1.0,0.0,269.9,181.94,7.9,0.0,95.0,1.0,0.4,0.0,0.6,0.0,0.0,1378.0,1.0,52317.051
0.0,0.0,1.0,0.0,0.0,585.0,6574.0,1388.0,4.0,22332288.0,15599494.0,6636033.0,3093346.0,5.0,2920656.0,69487.0,0.0,289.5,194.8,0.0,17.8,386.5,258.9,56.5,22.9,1.0,17.8,22.9,22.9,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,0.0,0.0,1.0,0.0,83440.314
0.0,0.0,4125.0,0.0,265.0,249.0,10407.0,1388.0,295.0,31223168.0,23736063.0,7342525.0,3556343.0,5.0,3360624.0,72263.0,0.0,747.7,720.7,0.0,19.7,1077.0,296.7,167.0,27.3,1.0,19.9,27.3,27.3,2888.0,0.0,869.2,564.7,111.9,3232.0,9.0,5.0,0.0,1731.8,723.66,138.02,0.0,745.0,1.0,0.2,0.0,0.6,0.0,0.0,3143.0,1.0,69918.17
0.0,0.0,1403.0,0.0,216.0,330.0,5235.0,1388.0,72.0,23245184.0,16894828.0,5384057.0,2948131.0,5.0,3183411.0,63935.0,0.0,858.0,872.9,0.0,21.8,1038.5,360.1,234.0,26.5,1.0,24.1,26.5,26.5,3215.0,0.0,914.4,806.7,76.1,297.0,9.0,1.0,219.8,2404.9,647.02,132.2,0.0,825.0,1.0,0.3,0.0,0.8,0.0,0.0,334.0,0.0,51275.199
0.0,0.0,1159.0,0.0,27.0,8.0,8303.0,1327.0,145.0,14206592.0,11309090.0,4807726.0,2569975.0,5.0,2650813.0,61190.0,0.0,568.9,730.0,0.0,15.7,1427.9,802.6,312.8,27.5,1.0,18.2,27.5,27.4,3007.0,2.6,15.7,11.7,5.2,173.0,7.0,1.0,922.9,924.6,923.56,0.1,0.0,105.0,1.0,0.2,0.0,0.4,0.0,0.0,155.0,0.0,23841.851
0.0,0.0,594.0,0.0,7.0,345.0,7256.0,1388.0,295.0,41469696.0,34504604.0,5392385.0,2717821.0,5.0,2731122.0,68099.0,0.0,352.1,627.8,0.0,17.2,896.4,621.6,225.3,40.6,1.0,35.2,40.6,40.6,644.0,0.0,423.5,423.4,0.0,1165.0,3.0,1.0,0.0,682.2,389.88,0.0,0.0,20.0,1.0,0.3,0.0,0.9,0.0,0.0,349.0,3.0,33300.995
0.0,0.0,0.0,0.0,0.0,390.0,6637.0,1388.0,168.0,20846592.0,13805036.0,6277929.0,3009203.0,5.0,2901676.0,63935.0,0.0,228.2,192.2,0.0,12.1,328.4,235.4,59.1,21.7,1.0,16.7,21.7,21.7,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.8,0.0,0.0,0.0,0.0,91108.419
0.0,0.0,4521.0,0.0,625.0,522.0,11498.0,1388.0,295.0,38283008.0,30748133.0,7936589.0,3335853.0,5.0,3242311.0,63935.0,0.0,218.8,254.2,0.0,22.3,627.0,307.2,77.9,24.9,1.0,23.4,24.9,24.9,539.0,155.6,418.0,273.0,78.4,4379.0,30.0,1.0,292.0,704.5,520.54,64.78,0.0,400.0,1.0,0.3,0.0,1.1,0.0,0.0,3743.0,0.0,71781.114
0.0,0.0,5493.0,0.0,1084.0,333.0,10593.0,1388.0,295.0,38521600.0,25778114.0,9856193.0,3733253.0,5.0,3901344.0,68099.0,0.0,1088.9,1064.5,0.0,18.4,994.9,392.8,128.8,20.6,1.0,18.8,20.6,20.6,242.0,0.0,382.9,371.8,24.4,5404.0,20.0,2.0,384.1,2041.3,849.26,190.54,0.0,275.0,1.0,0.3,0.0,0.6,0.0,0.0,5335.0,0.0,53399.235
0.0,0.0,2361.0,0.0,194.0,120.0,6865.0,1388.0,188.0,30362240.0,21738978.0,7164861.0,3161835.0,5.0,2985878.0,63935.0,0.0,234.5,227.8,0.0,17.5,485.0,218.1,66.8,23.8,1.0,19.6,23.8,23.8,1247.0,0.0,266.5,250.1,12.6,1612.0,6.0,1.0,0.0,724.0,219.76,22.74,0.0,865.0,1.0,0.3,0.0,0.7,0.0,0.0,1419.0,0.0,97635.985
0.0,0.0,10825.0,0.0,2705.0,1591.0,9544.0,1388.0,12.0,23678592.0,16431067.0,9553609.0,3498529.0,5.0,3326116.0,58383.0,0.0,336.3,307.6,0.0,18.3,609.2,302.8,121.9,23.3,1.0,18.3,23.3,23.3,3108.0,0.2,447.4,326.0,118.4,10722.0,41.0,4.0,48.6,830.0,430.86,139.34,0.0,2205.0,1.0,0.6,0.0,1.2,0.0,0.0,9847.0,0.0,65403.753
0.0,0.0,1561.0,0.0,25.0,176.0,7974.0,1388.0,295.0,36432128.0,31099161.0,5762981.0,2908960.0,5.0,2947751.0,63935.0,0.0,419.9,579.9,0.0,22.3,980.9,689.8,266.5,38.0,1.0,26.5,38.0,38.0,14.0,0.0,775.2,774.8,188.6,1620.0,5.0,1.0,0.0,905.5,454.94,29.34,0.0,55.0,1.0,0.2,0.0,0.9,0.0,0.0,1536.0,0.0,30518.65
0.0,0.0,0.0,0.0,0.0,310.0,7254.0,1388.0,4.0,27505408.0,23156389.0,6810921.0,3134860.0,5.0,2885733.0,63935.0,0.0,307.4,383.0,0.0,22.5,1054.0,612.6,267.7,40.0,1.0,31.8,40.0,40.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.2,0.0,0.0,0.0,0.0,36271.771
0.0,0.0,0.0,0.0,0.0,87.0,7853.0,1388.0,295.0,29518720.0,26502342.0,6473637.0,3036894.0,5.0,2887682.0,63935.0,0.0,360.0,412.2,0.0,20.8,725.1,546.2,137.8,31.3,1.0,20.8,31.3,31.2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,40772.401
0.0,0.0,5800.0,0.0,312.0,254.0,14141.0,1388.0,295.0,41009024.0,29806458.0,9280173.0,3516229.0,5.0,3178089.0,63935.0,0.0,200.3,265.0,0.0,20.6,536.9,366.5,89.9,33.4,1.0,22.7,33.4,33.3,444.0,7.5,388.3,337.8,108.4,5629.0,15.0,1.0,383.3,631.2,475.82,43.04,0.0,375.0,1.0,0.3,0.0,0.7,0.0,0.0,5491.0,0.0,60282.129
