resets.sent.a2b,pure.acks.sent.a2b,sack.pkts.sent.a2b,sack.pkts.sent.b2a,dsack.pkts.sent.a2b,dsack.pkts.sent.b2a,actual.data.pkts.b2a,rexmt.data.pkts.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,outoforder.pkts.a2b,outoforder.pkts.b2a,pushed.data.pkts.a2b,pushed.data.pkts.b2a,max.segm.size.a2b,max.segm.size.b2a,min.segm.size.a2b,min.segm.size.b2a,avg.segm.size.a2b,avg.segm.size.b2a,max.win.adv.a2b,max.win.adv.b2a,min.win.adv.a2b,avg.win.adv.a2b,avg.win.adv.b2a,max.owin.a2b,max.owin.b2a,min.non.zero.owin.a2b,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.a2b,initial.window.bytes.b2a,initial.window.pkts.a2b,initial.window.pkts.b2a,truncated.data.a2b,truncated.data.b2a,truncated.packets.b2a,data.xmit.time.a2b,data.xmit.time.b2a,idletime.max.a2b,idletime.max.b2a,throughput.a2b,throughput.b2a,rtt.samples.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.full.sz.avg.a2b,post.loss.acks.a2b,rtt.min.last.a2b,rtt.max.last.a2b,rtt.avg.last.a2b,rtt.sdv.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,max.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,syn.pkts.sent.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.from.3whs.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.min.b2a,rtt.full.sz.max.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.avg.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,max.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,syn.pkts.sent.b2a,fin.pkts.sent.b2a,duplicate.acks.a2b,duplicate.acks.b2a,transfer.datarate
1.0,36.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,25.0,26.0,1342.0,5997.0,31.0,0.0,454.4,1396.3,766976.0,665088.0,6553600.0,707094.0,663714.0,7282.0,41910.0,10.0,10.0,2176.0,16417.0,1639.0,5170.0,35400.0,10.0,14.0,8204.0,49929.0,26.0,0.125,0.23,168.8,108.3,90784.0,380462.0,6.0,17.6,59.9,56.3,13.0,57.4,2.0,17.6,57.4,57.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,8.0,0.1,2.7,1.4,0.9,2.7,1.0,0.2,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,1.0,9507.188
1.0,45.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,517.0,6940.0,0.0,0.0,91.5,1669.0,445439.0,133631.0,262142.0,215905.0,133515.0,661.0,18045.0,1.0,1.0,61.0,5332.0,148.0,517.0,5552.0,1.0,2.0,1084.0,147697.0,46.0,0.064,0.098,41.7,41.8,6617.0,788950.0,8.0,21.6,34.3,28.8,4.4,28.8,1.0,26.4,28.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,45.0,0.0,41.8,1.2,6.2,0.2,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7273.2
0.0,240.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,1388.0,65236.0,38.0,38.0,207.0,11119.0,3144704.0,64000.0,65536.0,2088085.0,52679.0,3160.0,101325.0,1.0,1.0,127.0,13043.0,119.0,517.0,3216.0,1.0,1.0,5210.0,2857590.0,260.0,3.106,3.106,742.4,798.5,1737.0,894097.0,16.0,53.0,101.8,63.0,13.2,62.0,1.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,240.0,0.1,5.3,0.5,0.6,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7599.047
0.0,30.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,517.0,2776.0,31.0,31.0,199.0,2271.0,202752.0,69120.0,65536.0,121025.0,68380.0,609.0,7698.0,1.0,1.0,112.0,2529.0,115.0,517.0,5552.0,1.0,2.0,1193.0,62805.0,29.0,0.198,0.215,97.4,82.2,5391.0,254229.0,8.0,17.0,23.3,20.1,2.4,17.8,1.0,17.8,17.8,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.1,2.0,0.4,0.5,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3659.815
0.0,15.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,1109.0,2776.0,31.0,27.0,416.0,843.5,159744.0,133376.0,262144.0,149186.0,132910.0,2088.0,7968.0,2.0,2.0,544.0,1828.0,871.0,1034.0,7966.0,2.0,4.0,3945.0,10480.0,13.0,0.509,0.622,320.2,343.2,12326.0,48067.0,6.0,20.1,38.0,31.4,5.3,27.0,1.0,20.1,27.0,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.1,1.3,0.7,0.4,0.6,1.0,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3811.046
0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1383.0,2048.0,64.0,876.0,596.5,1326.0,151552.0,131072.0,262144.0,141568.0,131072.0,3092.0,6210.0,2.0,2.0,680.0,2211.0,2208.0,1034.0,6208.0,2.0,4.0,3296.0,7120.0,6.0,0.051,0.173,151.5,127.8,18262.0,35267.0,4.0,20.8,66.0,35.7,20.3,26.5,1.0,22.7,26.5,26.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.2,0.6,0.3,0.2,0.6,1.0,0.2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3811.046
0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,517.0,2776.0,31.0,31.0,196.0,910.0,80896.0,67840.0,65536.0,76141.0,67374.0,593.0,4863.0,1.0,1.0,204.0,909.0,291.0,517.0,4862.0,1.0,2.0,965.0,6095.0,7.0,0.089,0.046,39.4,31.2,8381.0,45315.0,6.0,22.2,40.3,28.9,6.4,22.2,1.0,22.2,22.2,22.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.1,0.7,0.4,0.2,0.3,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4197.302
3.0,660.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,0.0,41.0,109.0,579.0,517.0,65236.0,31.0,29.0,231.647058823529,3189.11764705882,8416256.0,1114880.0,18939904.0,3982964.0,1109119.0,10227.0,562265.0,17.0,17.0,2186.0,120406.0,2989.0,8789.0,52763.0,17.0,26.0,17993.0,4234308.0,659.0,3.096,3.536,1751.3,1769.8,90641.0,4607988.0,11.0,15.3,89.5,52.0,14.9,48.0,2.0,15.3,48.0,48.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,142.0,0.1,43.2,1.8,8.1,1.1,2.0,0.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,3.0,8019.253
0.0,78.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,1.0,11.0,72.0,517.0,2776.0,31.0,31.0,207.0,1495.5,490496.0,133376.0,262144.0,294011.0,133305.0,1139.0,13041.0,2.0,2.0,155.0,4738.0,452.0,1034.0,6439.0,2.0,3.0,1854.0,167396.0,76.0,0.187,0.139,44.0,37.4,16963.0,719466.0,6.0,16.5,38.8,33.9,3.4,31.6,1.0,16.5,31.6,31.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,72.0,0.1,0.8,0.4,0.2,0.4,1.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10069.317
0.0,307.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0,2.0,26.0,30.0,1388.0,62460.0,38.0,38.0,208.0,8453.0,3144704.0,58624.0,65536.0,2102937.0,49617.0,3104.0,88833.0,1.0,1.0,88.0,9354.0,108.0,517.0,3216.0,1.0,1.0,5211.0,2846092.0,342.0,3.523,3.517,751.4,810.3,1539.0,792301.0,18.0,51.4,123.3,65.8,18.4,57.0,1.0,57.0,57.0,56.9,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,307.0,0.1,8.0,0.5,0.6,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6705.581
