total.packets.a2b,resets.sent.a2b,resets.sent.b2a,dsack.pkts.sent.a2b,rexmt.data.pkts.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,min.segm.size.b2a,avg.win.adv.b2a,max.owin.b2a,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,wavg.owin.b2a,initial.window.bytes.b2a,initial.window.pkts.b2a,data.xmit.time.a2b,throughput.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.min.last.a2b,rtt.avg.last.a2b,max.retrans.a2b,max.retr.time.a2b,rtt.samples.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.from.3whs.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.min.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.avg.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,max.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,syn.pkts.sent.b2a,duplicate.acks.a2b,duplicate.acks.b2a,abs.uplinkdelay.75,abs.downlinkdeltadelay.25,abs.downlinkdeltadelay.50,abs.uplinkdeltadelay.25,abs.uplinkdeltadelay.50,abs.uplinkdeltadelay.avg,abs.uplinkdeltadelay.75,abs.rtt.min,abs.winratio.max,abs.radiobuffer.min,abs.idletime.50,abs.idletime.75,abs.idletime.max,abs.segmentsizes.max,abs.pushevents.sum,abs.instanttp.min,abs.rtoevents.sum,abs.theoricalmaxtp.avg,transfer.datarate
13565.0,37.0,0.0,0.0,2.0,0.0,2896.0,80.0,325120.0,10033302.0,5.0,5.0,418788.0,0.0,600793.0,75296.0,13.0,0.0,160.0,10.5,29.4,24.4,0.0,19.3,1.0,10.5,19.3,0.0,0.0,0.0,0.0,3166.0,48.5,0.4,1.8,0.9,1.0,0.4,0.9,2.0,0.0,0.0,0.0,0.0,5534.0,2.0,1.0,0.0,202.0,74.38,0.0,5.0,2.0,57.0,12.0,171.0,197.0,4.0,6.0,6.11382710868653,8.0,11.0,0.584295975534539,0.0,0.0,0.0,32.0000000065193,65160.0,13784.0,8e-05,2.0,585.552219058283,546884.881
26155.0,154.0,0.0,0.0,0.0,0.0,0.0,28.0,325120.0,17811908.0,5.0,5.0,709543.0,0.0,750179.0,37648.0,8.0,0.0,160.0,12.8,22.0,19.5,0.0,16.9,1.0,12.8,16.9,0.0,0.0,0.0,0.0,5146.0,14.3,0.5,0.5,0.5,1.0,0.3,0.5,958.0,0.0,0.0,0.0,0.0,10953.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1416.0,14.0,25.0,35.0,4.0,6.0,6.84927820602663,9.0,9.0,0.447109100127052,0.0,0.0,0.0,35.0000000034925,65160.0,28876.0,0.00024,0.0,802.90432852325,522976.614
15858.0,25.0,0.0,0.0,0.0,0.0,0.0,16.0,325120.0,10415190.0,5.0,5.0,652106.0,1.0,717730.0,56472.0,8.0,0.0,160.0,10.6,27.4,19.1,0.0,10.9,1.0,10.6,10.9,0.0,0.0,0.0,0.0,3253.0,45.1,0.5,1.9,0.9,1.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,6864.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,113.0,129.0,11.0,13.0,13.275246656435,15.0,11.0,0.448939912725913,0.0,0.0,0.0,33.000000003085,65160.0,13854.0,0.00032,0.0,911.382613941215,883304.721
15750.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,325120.0,9519186.0,5.0,5.0,540019.0,2.0,581479.0,14480.0,5.0,0.0,160.0,15.2,35.7,25.5,0.0,18.9,1.0,15.2,18.9,0.0,0.0,0.0,0.0,3270.0,43.3,0.4,1.5,0.6,1.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,12.0,120.0,140.0,4.0,6.0,7.21025187392337,9.0,12.0,0.432983884322117,0.0,0.0,0.0,33.9999999996508,65160.0,13327.0,8e-05,0.0,860.83953542927,824541.751
26497.0,71.0,0.0,0.0,0.0,0.0,0.0,3.0,325120.0,17061664.0,5.0,5.0,610722.0,0.0,663928.0,43440.0,10.0,0.0,160.0,10.5,26.0,20.2,0.0,14.7,1.0,10.5,14.7,0.0,0.0,0.0,0.0,4989.0,41.0,0.4,0.8,0.5,1.0,0.3,0.5,1066.0,0.0,0.0,0.0,0.0,11304.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1117.0,15.0,48.0,61.0,5.0,8.0,8.7175260486241,11.0,10.0,0.514640258396914,0.0,0.0,0.0,180.000000000291,65160.0,30138.0,8e-05,0.0,733.67924679697,541200.994
26864.0,101.0,0.0,0.0,0.0,0.0,0.0,21.0,325120.0,16530706.0,5.0,5.0,785509.0,0.0,799598.0,60816.0,12.0,0.0,160.0,13.7,29.1,21.4,0.0,16.6,1.0,13.7,16.6,0.0,0.0,0.0,0.0,4782.0,49.3,0.5,0.9,0.6,1.0,0.2,0.6,340.0,0.0,0.0,0.0,0.0,13978.0,81.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2584.0,13.0,16.0,26.0,9.0,11.0,11.4584985461274,13.0,12.0,0.444175364790171,0.0,0.0,0.0,139.999999999418,65160.0,28384.0,0.00016,0.0,1087.23334866498,625569.418
26602.0,171.0,0.0,0.0,5.0,0.0,5.0,54.0,325120.0,17124598.0,5.0,5.0,666476.0,5.0,810834.0,78192.0,27.0,0.0,155.0,10.6,62.9,36.7,0.0,19.1,1.0,10.6,19.1,0.0,0.0,0.0,0.0,4950.0,30.6,0.5,0.9,0.4,1.0,0.3,0.4,531.0,0.0,0.0,0.0,0.0,11577.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1476.0,14.0,39.0,58.0,31.0,32.0,33.164002287644,35.0,10.0,0.422938311341377,0.0,0.0,0.0,108.000000000175,65160.0,29020.0,8e-05,5.0,850.428093431261,593232.647
11688.0,51.0,0.0,70.0,83.0,0.0,618816.0,7.0,325120.0,9470658.0,5.0,5.0,564300.0,1.0,667561.0,28960.0,6.0,0.0,156.0,10.8,37.0,25.8,0.0,14.6,1.0,10.8,14.6,0.0,0.0,0.0,0.0,2887.0,44.3,0.5,1.5,0.6,1.0,0.2,0.6,5.0,0.0,0.0,0.0,0.0,5902.0,6.0,2.0,0.0,2.9,0.26,0.28,5.0,4.0,171.0,14.0,159.0,190.0,8.0,10.0,12.2027536563071,12.0,12.0,0.462726558962188,0.0,0.0,0.0,294.000000001688,65160.0,12525.0,8e-05,0.0,575.737788733434,483123.915
16603.0,177.0,0.0,0.0,0.0,0.0,0.0,176.0,325120.0,10673885.0,5.0,5.0,406550.0,4.0,532765.0,70952.0,13.0,0.0,156.0,13.1,36.4,29.4,0.0,22.4,1.0,13.1,22.4,0.0,0.0,0.0,0.0,3396.0,44.4,0.6,1.3,0.6,1.0,0.3,0.6,67.0,0.0,0.0,0.0,0.0,9468.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,282.0,15.0,229.0,314.0,4.0,7.0,9.53635106055948,10.0,13.0,0.41770172957679,0.0,0.0,0.0,145.000000004075,65160.0,23162.0,8e-05,0.0,343.595100464276,294532.037
11781.0,79.0,0.0,32.0,32.0,0.0,83984.0,176.0,325120.0,6127828.33333333,5.0,5.0,292916.0,1.0,252185.0,28960.0,5.0,0.0,160.0,13.7,32.4,24.5,0.0,16.6,1.0,13.7,16.6,0.0,0.0,0.0,0.0,2548.0,45.7,0.5,1.3,0.5,1.0,0.2,0.5,14.0,0.0,0.4,0.4,0.0,4992.0,5.0,1.0,0.0,0.4,0.16,0.0,5.0,2.0,35.0,14.0,120.0,155.0,5.0,7.0,10.2550039305799,10.0,15.0,0.353939262272798,0.0,0.0,0.0,283.999999999651,65160.0,12640.0,0.00024,5.0,464.871211161004,360726.774
14681.0,49.0,0.0,152.0,219.0,0.0,468323.0,5.0,325120.0,1226722.0,5.0,5.0,96282.0,15.0,116523.0,36200.0,5.0,0.0,155.0,9.3,16.3,14.7,0.0,13.8,1.0,9.3,13.8,0.0,0.0,0.0,0.0,2906.0,40.4,0.7,0.9,0.7,1.0,0.4,0.7,33.0,0.0,1.2,1.2,0.0,7710.0,19.0,3.0,0.0,14.3,3.64,3.14,5.0,2.0,213.0,14.0,7.0,12.0,7.0,9.0,13.2811215636131,12.0,10.0,0.289336536535821,0.0,0.0,0.0,447.000000000116,18824.0,20374.0,0.00016,66.0,283.28728013969,142521.066
11930.0,50.0,0.0,0.0,0.0,0.0,0.0,54.0,325120.0,9589586.25,5.0,5.0,548297.5,0.0,484571.25,110048.0,15.0,0.0,155.0,9.2,24.2,21.0,0.0,17.8,1.0,9.2,17.8,0.0,0.0,0.0,0.0,2468.0,46.2,0.4,1.5,0.4,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,5073.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,11.0,163.0,185.0,17.0,19.0,19.3602807838549,21.0,9.0,0.443748330866195,0.0,0.0,0.999999996565748,14.9999999994179,65160.0,10895.0,8e-05,0.0,635.032648079066,618321.717
14345.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,325120.0,11189093.0,5.0,5.0,662619.0,0.0,757680.0,62264.0,9.0,0.0,160.0,12.1,17.4,16.6,0.0,17.0,1.0,12.1,17.0,0.0,0.0,0.0,0.0,2954.0,44.8,0.5,2.0,0.7,1.0,0.4,0.7,0.0,0.0,0.0,0.0,0.0,6542.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,126.0,143.0,4.0,6.0,6.44785628742515,8.0,9.0,0.433671491538668,0.0,0.0,0.999999996565748,103.99999999936,65160.0,12566.0,0.00016,0.0,817.902339233832,792273.407
9671.0,63.0,0.0,3.0,3.0,0.0,1128.0,132.0,325120.0,8221365.0,5.0,5.0,429086.0,6.0,343623.0,37648.0,7.0,0.0,155.0,13.8,87.3,60.2,0.0,33.7,1.0,26.5,33.7,0.0,0.0,0.0,0.0,2042.0,47.2,0.6,1.9,0.6,1.0,0.4,0.6,0.0,0.0,1.6,1.6,0.0,4756.0,0.0,1.0,0.0,2.6,0.52,0.0,5.0,2.0,3.0,13.0,255.0,311.0,3.0,5.0,6.12973750942362,8.0,12.0,0.432538719905089,0.0,0.0,0.999999996565748,16.9999999998254,65160.0,10964.0,8e-05,0.0,344.421248240838,327399.533
10727.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,325120.0,4747449.0,5.0,5.0,415833.0,0.0,377904.0,52128.0,9.0,0.0,160.0,12.6,17.7,15.5,0.0,14.0,1.0,12.6,14.0,0.0,0.0,0.0,0.0,2324.0,47.3,0.5,2.1,0.4,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,5181.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,10.0,228.0,240.0,2.0,3.0,3.88784402231835,5.0,12.0,0.444292487026862,0.0,0.0,0.999999996565748,31.0000000026776,65160.0,11012.0,0.00032,0.0,506.811420766241,495155.482
48088.0,313.0,0.0,52.0,55.0,0.0,80392.0,2.0,325120.0,14699096.6666667,5.0,5.0,656242.0,6.0,846705.0,14480.0,9.0,0.0,155.0,16.0,67.1,61.1,0.0,55.3,1.0,53.7,55.3,0.0,0.0,0.0,0.0,5618.0,91.1,4.3,12.6,0.9,1.0,0.6,0.9,7778.0,0.0,0.0,0.0,0.0,31261.0,453.0,1.0,0.0,636.1,186.42,70.32,5.0,13.0,10975.0,59.0,62.0,105.0,8.0,14.0,42.9525297091881,55.0,14.0,0.485322339710944,0.0,0.0,0.0,400.000000001455,1822184.0,16488.0,0.00032,43.0,427.002024313042,227592.73
22927.0,44.0,0.0,5.0,0.0,0.0,0.0,8.0,325120.0,13651588.75,5.0,5.0,399432.0,1.0,601736.25,78192.0,15.0,0.0,160.0,13.4,26.7,20.2,0.0,17.2,1.0,13.4,17.2,0.0,0.0,0.0,0.0,4468.0,20.2,0.6,1.1,0.4,1.0,0.2,0.4,219.0,0.0,0.0,0.0,0.0,8499.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,437.0,12.0,10.0,17.0,5.0,6.0,8.28130298682666,8.0,11.0,0.40813469811737,0.0,0.0,0.0,208.999999995285,189688.0,26123.0,8e-05,0.0,731.051329652263,468620.76
