total.packets.a2b,resets.sent.a2b,resets.sent.b2a,dsack.pkts.sent.a2b,actual.data.bytes.b2a,rexmt.data.pkts.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,max.segm.size.b2a,min.segm.size.b2a,avg.win.adv.b2a,max.owin.b2a,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,wavg.owin.b2a,initial.window.bytes.b2a,initial.window.pkts.b2a,data.xmit.time.a2b,idletime.max.a2b,idletime.max.b2a,throughput.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.min.last.a2b,rtt.avg.last.a2b,max.retrans.a2b,max.retr.time.a2b,fin.pkts.sent.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.from.3whs.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.min.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.avg.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,max.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,syn.pkts.sent.b2a,duplicate.acks.a2b,duplicate.acks.b2a,abs.uplinkdelay.75,abs.downlinkdeltadelay.25,abs.downlinkdeltadelay.50,abs.downlinkdeltadelay.avg,abs.downlinkdeltadelay.75,abs.downlinkdeltadelay.max,abs.uplinkdeltadelay.25,abs.uplinkdeltadelay.50,abs.uplinkdeltadelay.avg,abs.uplinkdeltadelay.75,abs.uplinkdeltadelay.max,abs.rtt.min,abs.rtt.max,abs.cwin.25,abs.cwin.50,abs.cwin.75,abs.cwin.max,abs.rwin.25,abs.rwin.50,abs.winratio.min,abs.winratio.25,abs.winratio.75,abs.winratio.max,abs.radiobuffer.min,abs.radiobuffer.25,abs.radiobuffer.50,abs.radiobuffer.75,abs.radiobuffer.max,abs.idletime.50,abs.idletime.avg,abs.idletime.75,abs.idletime.max,abs.segmentsizes.min,abs.segmentsizes.25,abs.segmentsizes.50,abs.segmentsizes.75,abs.segmentsizes.max,abs.packetlost.sum,abs.pushevents.sum,abs.instanttp.min,abs.instanttp.25,abs.instanttp.75,abs.instanttp.max,abs.burst.sum,abs.rtoevents.sum,abs.theoricalmaxtp.25,abs.theoricalmaxtp.50,abs.theoricalmaxtp.avg,abs.theoricalmaxtp.75,transfer.datarate
13565.0,37.0,0.0,0.0,503850190.0,2.0,0.0,2896.0,65160.0,80.0,325120.0,10033302.0,5.0,5.0,418788.0,0.0,600793.0,75296.0,13.0,0.0,162.8,162.8,160.0,10.5,29.4,24.4,0.0,19.3,1.0,10.5,19.3,0.0,0.0,0.0,0.0,3.0,3166.0,0.0,48.5,0.4,1.8,0.9,1.0,0.4,0.9,2.0,0.0,0.0,0.0,0.0,5534.0,2.0,1.0,0.0,202.0,74.38,0.0,5.0,2.0,57.0,12.0,171.0,197.0,200.223300461603,230.0,425.0,4.0,6.0,6.11382710868653,8.0,21.0,11.0,440.0,14833111.0,15831736.0,16670448.0,18490355.0,41925632.0,41928704.0,0.20712592978955,0.354307634810505,0.398132173654532,0.584295975534539,0.0,13818564.0,14550164.0,15367905.75,17911496.0,0.0,0.38524891150382,0.0,32.0000000065193,1.0,11584.0,21720.0,39096.0,65160.0,0.0,13784.0,8e-05,488.69104,658.09288,960.72224,0.0,2.0,498.990564100736,580.535844657376,585.552219058283,680.154474223298,546884.881
26155.0,154.0,0.0,0.0,474125985.0,0.0,0.0,0.0,65160.0,28.0,325120.0,17811908.0,5.0,5.0,709543.0,0.0,750179.0,37648.0,8.0,0.0,69.7,69.7,160.0,12.8,22.0,19.5,0.0,16.9,1.0,12.8,16.9,0.0,0.0,0.0,0.0,3.0,5146.0,0.0,14.3,0.5,0.5,0.5,1.0,0.3,0.5,958.0,0.0,0.0,0.0,0.0,10953.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1416.0,14.0,25.0,35.0,42.6371969166083,51.0,139.0,4.0,6.0,6.84927820602663,9.0,36.0,9.0,156.0,2952519.0,3239353.0,7801578.0,18738464.0,41933824.0,41934848.0,0.0642763355685647,0.0711949687454217,0.186958397941492,0.447109100127052,0.0,1754091.5,2193704.0,2776725.0,15981097.0,0.0,0.205191455962317,0.0,35.0000000034925,1.0,7240.0,11584.0,17376.0,65160.0,1220.0,28876.0,0.00024,453.07216,585.58352,1039.0312,137.0,0.0,497.615999989633,610.335555538602,802.90432852325,893.623314272948,522976.614
15858.0,25.0,0.0,0.0,797599571.0,0.0,0.0,0.0,65160.0,16.0,325120.0,10415190.0,5.0,5.0,652106.0,1.0,717730.0,56472.0,8.0,0.0,163.3,163.8,160.0,10.6,27.4,19.1,0.0,10.9,1.0,10.6,10.9,0.0,0.0,0.0,0.0,4.0,3253.0,0.0,45.1,0.5,1.9,0.9,1.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,6864.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,113.0,129.0,128.366849375137,146.0,225.0,11.0,13.0,13.275246656435,15.0,43.0,11.0,242.0,15802688.0,16489548.0,17404552.0,18823009.0,41924608.0,41928704.0,0.152649869499141,0.377142713357858,0.419692907831998,0.448939912725913,0.0,14335042.0,15275499.0,16040432.0,19741867.0,0.0,0.322004911419082,0.0,33.000000003085,1.0,15928.0,33480.0,53576.0,65160.0,0.0,13854.0,0.00032,802.35072,1017.1272,1483.99136,0.0,0.0,802.241468349353,920.790296768253,911.382613941215,1047.63180951549,883304.721
15750.0,9.0,0.0,0.0,750442831.0,0.0,0.0,0.0,65160.0,16.0,325120.0,9519186.0,5.0,5.0,540019.0,2.0,581479.0,14480.0,5.0,0.0,150.3,150.4,160.0,15.2,35.7,25.5,0.0,18.9,1.0,15.2,18.9,0.0,0.0,0.0,0.0,3.0,3270.0,0.0,43.3,0.4,1.5,0.6,1.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,12.0,120.0,140.0,133.782159318404,154.0,199.0,4.0,6.0,7.21025187392337,9.0,59.0,12.0,209.0,16093647.0,16832746.0,17276400.0,18156670.0,41923584.0,41927680.0,0.211051892015038,0.384500319558913,0.412082564969957,0.432983884322117,0.0,14056488.0,14977952.0,15911620.0,19697565.0,0.0,0.338346214731345,0.0,33.9999999996508,1.0,15928.0,33304.0,55024.0,65160.0,0.0,13327.0,8e-05,742.38784,939.00112,1521.40944,0.0,0.0,767.770238090668,844.123687937276,860.83953542927,966.339575254812,824541.751
26497.0,71.0,0.0,0.0,490650274.0,0.0,0.0,0.0,65160.0,3.0,325120.0,17061664.0,5.0,5.0,610722.0,0.0,663928.0,43440.0,10.0,0.0,183.6,184.1,160.0,10.5,26.0,20.2,0.0,14.7,1.0,10.5,14.7,0.0,0.0,0.0,0.0,0.0,4989.0,0.0,41.0,0.4,0.8,0.5,1.0,0.3,0.5,1066.0,0.0,0.0,0.0,0.0,11304.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1117.0,15.0,48.0,61.0,64.5716003205984,76.0,268.0,5.0,8.0,8.7175260486241,11.0,40.0,10.0,294.0,4187778.0,6662809.0,6769880.0,18023474.0,41931776.0,41933824.0,0.0962297257288665,0.0999951545063854,0.162218666248993,0.514640258396914,0.0,3017128.25,4577018.5,5478294.75,12405831.0,0.0,0.19452830692766,0.0,180.000000000291,0.0,7240.0,13032.0,17376.0,65160.0,1217.0,30138.0,8e-05,488.83144,641.698,848.68168,74.0,0.0,549.216786876242,647.722305073767,733.67924679697,779.121488353974,541200.994
26864.0,101.0,0.0,0.0,559557376.0,0.0,0.0,0.0,65160.0,21.0,325120.0,16530706.0,5.0,5.0,785509.0,0.0,799598.0,60816.0,12.0,0.0,148.2,147.3,160.0,13.7,29.1,21.4,0.0,16.6,1.0,13.7,16.6,0.0,0.0,0.0,0.0,3.0,4782.0,0.0,49.3,0.5,0.9,0.6,1.0,0.2,0.6,340.0,0.0,0.0,0.0,0.0,13978.0,81.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2584.0,13.0,16.0,26.0,33.9600581549035,41.0,190.0,9.0,11.0,11.4584985461274,13.0,48.0,12.0,204.0,3762436.0,4014553.0,7389318.0,17866851.0,41931776.0,41933824.0,0.0508813313814006,0.0899502832238689,0.176350102604764,0.444175364790171,0.0,1382541.5,2320562.0,3029592.5,12787395.0,0.0,0.190779560654635,0.0,139.999999999418,1.0,7240.0,15928.0,21720.0,65160.0,2305.0,28384.0,0.00016,571.18856,747.56656,1149.47136,125.0,0.0,683.329454529924,837.4963809125,1087.23334866498,1201.14854052972,625569.418
26602.0,171.0,0.0,0.0,543517620.0,5.0,0.0,5.0,65160.0,54.0,325120.0,17124598.0,5.0,5.0,666476.0,5.0,810834.0,78192.0,27.0,0.0,113.9,113.3,155.0,10.6,62.9,36.7,0.0,19.1,1.0,10.6,19.1,0.0,0.0,0.0,0.0,1.0,4950.0,0.0,30.6,0.5,0.9,0.4,1.0,0.3,0.4,531.0,0.0,0.0,0.0,0.0,11577.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1476.0,14.0,39.0,58.0,61.4056755358261,79.0,153.0,31.0,32.0,33.164002287644,35.0,58.0,10.0,174.0,4166620.0,7843816.0,7951075.0,17731956.0,41931776.0,41933824.0,0.095042624215545,0.0995666181978292,0.189673276030475,0.422938311341377,0.0,2834431.5,4310029.0,6458155.0,13647955.0,0.0,0.201427092978938,0.0,108.000000000175,1.0,8688.0,15928.0,20272.0,65160.0,1298.0,29020.0,8e-05,543.18168,699.78912,975.34176,47.0,5.0,613.075471686546,732.263826071038,850.428093431261,935.420588221538,593232.647
11688.0,51.0,0.0,70.0,447898852.0,83.0,0.0,618816.0,65160.0,7.0,325120.0,9470658.0,5.0,5.0,564300.0,1.0,667561.0,28960.0,6.0,0.0,436.3,436.1,156.0,10.8,37.0,25.8,0.0,14.6,1.0,10.8,14.6,0.0,0.0,0.0,0.0,2.0,2887.0,0.0,44.3,0.5,1.5,0.6,1.0,0.2,0.6,5.0,0.0,0.0,0.0,0.0,5902.0,6.0,2.0,0.0,2.9,0.26,0.28,5.0,4.0,171.0,14.0,159.0,190.0,224.95155393053,238.0,1082.0,8.0,10.0,12.2027536563071,12.0,210.0,12.0,1099.0,15147296.0,16623300.0,17252120.0,18331629.0,41921536.0,41929728.0,0.160779034857313,0.371399762001795,0.412700750435035,0.462726558962188,0.0,13407374.0,14448150.0,15285803.0,19066501.0,0.0,0.421242072787499,0.0,294.000000001688,0.0,10643.0,20272.0,37648.0,65160.0,82.0,12525.0,8e-05,454.6432,686.26792,970.21184,19.0,0.0,437.862095235779,603.510419750603,575.737788733434,735.541617017364,483123.915
16603.0,177.0,0.0,0.0,266304747.0,0.0,0.0,0.0,65160.0,176.0,325120.0,10673885.0,5.0,5.0,406550.0,4.0,532765.0,70952.0,13.0,0.0,224.7,247.1,156.0,13.1,36.4,29.4,0.0,22.4,1.0,13.1,22.4,0.0,0.0,0.0,0.0,1.0,3396.0,0.0,44.4,0.6,1.3,0.6,1.0,0.3,0.6,67.0,0.0,0.0,0.0,0.0,9468.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,282.0,15.0,229.0,314.0,295.81786043652,349.0,543.0,4.0,7.0,9.53635106055948,10.0,368.0,13.0,565.0,11655619.0,12404397.0,13116370.0,17512409.0,41933824.0,41935872.0,0.126080275007022,0.280305369543651,0.313230210164701,0.41770172957679,0.0,10256698.0,11057619.0,11492002.25,15426041.0,0.0,0.28263459247601,0.0,145.000000004075,1.0,5792.0,8688.0,13032.0,65160.0,51.0,23162.0,8e-05,235.6252,371.04344,814.42608,32.0,0.0,245.165794391951,296.361467047861,343.595100464276,383.74439393794,294532.037
11781.0,79.0,0.0,32.0,334143523.0,32.0,0.0,83984.0,65160.0,176.0,325120.0,6127828.33333333,5.0,5.0,292916.0,1.0,252185.0,28960.0,5.0,0.0,435.0,434.9,160.0,13.7,32.4,24.5,0.0,16.6,1.0,13.7,16.6,0.0,0.0,0.0,0.0,3.0,2548.0,0.0,45.7,0.5,1.3,0.5,1.0,0.2,0.5,14.0,0.0,0.4,0.4,0.0,4992.0,5.0,1.0,0.0,0.4,0.16,0.0,5.0,2.0,35.0,14.0,120.0,155.0,183.386224829171,212.0,538.0,5.0,7.0,10.2550039305799,10.0,283.0,15.0,699.0,9914148.0,10764264.0,11210174.0,12012644.0,34912256.0,38971392.0,0.0790529002314029,0.259392139633177,0.291275909963416,0.353939262272798,0.0,8456783.0,9266332.0,9853952.0,12116112.0,0.0,0.441098209966237,0.0,283.999999999651,1.0,2896.0,10136.0,34539.0,65160.0,18.0,12640.0,0.00024,315.24608,581.54,873.5852,6.0,5.0,298.276407546044,496.716205711447,464.871211161004,625.938086951986,360726.774
